DATE,MRTSSM451211USN
1992-01-01,790
1992-02-01,539
1992-03-01,535
1992-04-01,523
1992-05-01,552
1992-06-01,589
1992-07-01,592
1992-08-01,894
1992-09-01,861
1992-10-01,645
1992-11-01,642
1992-12-01,1165
1993-01-01,998
1993-02-01,568
1993-03-01,602
1993-04-01,583
1993-05-01,612
1993-06-01,618
1993-07-01,607
1993-08-01,983
1993-09-01,903
1993-10-01,669
1993-11-01,692
1993-12-01,1273
1994-01-01,1053
1994-02-01,635
1994-03-01,634
1994-04-01,610
1994-05-01,684
1994-06-01,724
1994-07-01,678
1994-08-01,1154
1994-09-01,1022
1994-10-01,732
1994-11-01,772
1994-12-01,1409
1995-01-01,1308
1995-02-01,718
1995-03-01,695
1995-04-01,688
1995-05-01,785
1995-06-01,808
1995-07-01,782
1995-08-01,1248
1995-09-01,1102
1995-10-01,746
1995-11-01,850
1995-12-01,1466
1996-01-01,1373
1996-02-01,757
1996-03-01,743
1996-04-01,750
1996-05-01,853
1996-06-01,838
1996-07-01,786
1996-08-01,1359
1996-09-01,1040
1996-10-01,899
1996-11-01,908
1996-12-01,1599
1997-01-01,1558
1997-02-01,825
1997-03-01,813
1997-04-01,806
1997-05-01,894
1997-06-01,875
1997-07-01,830
1997-08-01,1301
1997-09-01,1158
1997-10-01,923
1997-11-01,994
1997-12-01,1765
1998-01-01,1463
1998-02-01,921
1998-03-01,882
1998-04-01,854
1998-05-01,919
1998-06-01,939
1998-07-01,881
1998-08-01,1385
1998-09-01,1246
1998-10-01,953
1998-11-01,990
1998-12-01,1849
1999-01-01,1514
1999-02-01,990
1999-03-01,976
1999-04-01,933
1999-05-01,976
1999-06-01,1031
1999-07-01,1023
1999-08-01,1386
1999-09-01,1240
1999-10-01,1019
1999-11-01,1088
1999-12-01,1996
2000-01-01,1505
2000-02-01,1090
2000-03-01,1031
2000-04-01,975
2000-05-01,1104
2000-06-01,1122
2000-07-01,1048
2000-08-01,1594
2000-09-01,1406
2000-10-01,1014
2000-11-01,1098
2000-12-01,1892
2001-01-01,1585
2001-02-01,1070
2001-03-01,1062
2001-04-01,934
2001-05-01,1070
2001-06-01,1077
2001-07-01,1005
2001-08-01,1820
2001-09-01,1406
2001-10-01,1015
2001-11-01,1098
2001-12-01,1956
2002-01-01,1971
2002-02-01,1000
2002-03-01,1008
2002-04-01,966
2002-05-01,1116
2002-06-01,1045
2002-07-01,1038
2002-08-01,1797
2002-09-01,1490
2002-10-01,997
2002-11-01,1059
2002-12-01,1950
2003-01-01,2056
2003-02-01,991
2003-03-01,925
2003-04-01,975
2003-05-01,1107
2003-06-01,1181
2003-07-01,1128
2003-08-01,2139
2003-09-01,1572
